1,1,江戸幕府を開いたのは次のうち誰？,徳川家康,羽柴秀吉,織田信長,石田三成
2,1,朝鮮出兵を行ったのは次のうち誰？,羽柴秀吉,織田信長,黒田官兵衛,徳川家康
3,1,源頼朝の弟で、弁慶を従えていたことで有名なのは次のうち誰？,源義経,源義仲,源義弘,源義高
4,2,みかんといえばどこでしょう？,愛媛,和歌山,沖縄,大分
5,2,日本ウイスキーの父と言われる「竹鶴政孝」が独立して蒸留所を作ったのはどこでしょう？,北海道,大阪,青森,滋賀
6,2,大分県と愛媛県の間に位置し、関サバ・関アジ等が有名なのは　何水道？,豊後,越後,日本,下関
7,3,江戸時代に庶民の間で流行し、ゴッホ等の印象派に影響を与えた物は何でしょう？,浮世絵,版画,水墨画,油絵
8,3,木炭デッサンで使用する食材は次のうちどれでしょう？,パン,ライス,チーズ,パスタ
9,3,色の表現方である「CMY」は　XXの三原色と呼ばれている。XXに当てはまる言葉は何でしょう？,色,光,彩,明
10,4,北海道日本ハムファイターズのダルビッシュ有投手の父親はどこの国の出身でしょう。,イラン,インド,サウジアラビア,ロシア
11,4,サッカーの試合、１チームが同時にフィールドに出せる選手は何人でしょう？,１１人,１０人,９人,８人
12,4,野球のチームは何人で構成されるでしょう。,９人,８人,７人,１０人
13,5,顕微鏡の観察用の標本のことをカタカナ6文字でなんと言うでしょう？,プレパラート,オブラート,セルロース,カルラート
14,5,夏の大三角の1等星はデネブ、アルタイルと後一つは何でしょう？カタカナ2文字です。,ベガ,メガ,ギガ,セガ
15,5,冷やす目的やテレビの演出でよく使われる、二酸化炭素を冷やして凍らせたものを何と言うでしょう？,ドライアイス,液体窒素,硫化窒素,保冷剤
16,6,次のヒット曲があるグループは？「スカーレット」「チェリー」「空も飛べるはず」「ロビンソン」,スピッツ,ゆず,Mr.Children,ポルノグラフティ
17,6,鳥取県の境港市出身。ゲゲゲの鬼太郎の作者と言えばだれ？,水木しげる,手塚治虫,不二子・F・不二雄,不二子・A・不二雄
18,6,ワープロの「ワー」はワードの略。では「プロ」は何の略？,プロセッサー,プログラム,プロフェッショナル,プロパティ
19,6,テレビゲームでは「ヒットポイント」、インターネットでは「ホームページ」を表すアルファベット２文字は何？,HP,HR,GP,GR
20,6,原爆実験から突然変異で生まれたゴジラはゴリラと何が合体したもの？,クジラ,ゾウ,トカゲ,モグラ
